axis,level,method,success,ci95_success,utility,ci95_utility,false_revision,ci95_false_revision,missed_violation,ci95_missed_violation,n
hidden_rule_drift,0.166667,scalar_uncertainty_trigger,0.321736,0.001147,-0.679873,0.001396,0.479989,0.000632,0.587946,0.000601,960
hidden_rule_drift,0.333333,causal_intervention_belief_revision_v5,0.614877,0.001148,0.496798,0.001420,0.139520,0.000632,0.233860,0.000632,960
hidden_rule_drift,0.333333,human_intervention_revision,0.422302,0.001164,-0.288888,0.001422,0.378634,0.000636,0.454021,0.000589,960
hidden_rule_drift,0.333333,proposed_intervention_violation_revision_v4_1,0.538045,0.001092,0.099531,0.001314,0.284754,0.000633,0.346195,0.000680,960
hidden_rule_drift,0.333333,scalar_uncertainty_trigger,0.313436,0.001147,-0.689833,0.001396,0.488289,0.000632,0.593756,0.000601,960
hidden_rule_drift,0.500000,causal_intervention_belief_revision_v5,0.613210,0.001148,0.494798,0.001420,0.141186,0.000632,0.235027,0.000632,960
hidden_rule_drift,0.500000,human_intervention_revision,0.415969,0.001164,-0.296488,0.001422,0.384968,0.000636,0.458455,0.000589,960
hidden_rule_drift,0.500000,proposed_intervention_violation_revision_v4_1,0.533628,0.001092,0.094231,0.001314,0.289171,0.000633,0.349287,0.000680,960
hidden_rule_drift,0.500000,scalar_uncertainty_trigger,0.305136,0.001147,-0.699793,0.001396,0.496589,0.000632,0.599566,0.000601,960
hidden_rule_drift,0.666667,causal_intervention_belief_revision_v5,0.611543,0.001148,0.492798,0.001420,0.142853,0.000632,0.236194,0.000632,960
hidden_rule_drift,0.666667,human_intervention_revision,0.409635,0.001164,-0.304088,0.001422,0.391301,0.000636,0.462888,0.000589,960
hidden_rule_drift,0.666667,proposed_intervention_violation_revision_v4_1,0.529212,0.001092,0.088931,0.001314,0.293588,0.000633,0.352379,0.000680,960
hidden_rule_drift,0.666667,scalar_uncertainty_trigger,0.296836,0.001147,-0.709753,0.001396,0.504889,0.000632,0.605376,0.000601,960
hidden_rule_drift,0.833333,causal_intervention_belief_revision_v5,0.609877,0.001148,0.490798,0.001420,0.144520,0.000632,0.237360,0.000632,960
hidden_rule_drift,0.833333,human_intervention_revision,0.403302,0.001164,-0.311688,0.001422,0.397634,0.000636,0.467321,0.000589,960
hidden_rule_drift,0.833333,proposed_intervention_violation_revision_v4_1,0.524795,0.001092,0.083631,0.001314,0.298004,0.000633,0.355470,0.000680,960
hidden_rule_drift,0.833333,scalar_uncertainty_trigger,0.288536,0.001147,-0.719713,0.001396,0.513189,0.000632,0.611186,0.000601,960
hidden_rule_drift,1.000000,causal_intervention_belief_revision_v5,0.601154,0.001148,0.462509,0.001420,0.146186,0.000632,0.255327,0.000632,960
hidden_rule_drift,1.000000,human_intervention_revision,0.389913,0.001164,-0.345551,0.001422,0.403968,0.000636,0.488555,0.000589,960
hidden_rule_drift,1.000000,proposed_intervention_violation_revision_v4_1,0.513322,0.001092,0.052071,0.001314,0.302421,0.000633,0.375362,0.000680,960
hidden_rule_drift,1.000000,scalar_uncertainty_trigger,0.273180,0.001147,-0.756117,0.001396,0.521489,0.000632,0.633796,0.000601,960
intervention_ambiguity,0.000000,causal_intervention_belief_revision_v5,0.618210,0.001148,0.500798,0.001420,0.136186,0.000632,0.231527,0.000632,960
intervention_ambiguity,0.000000,human_intervention_revision,0.434969,0.001164,-0.273688,0.001422,0.365968,0.000636,0.445155,0.000589,960
intervention_ambiguity,0.000000,proposed_intervention_violation_revision_v4_1,0.546878,0.001092,0.110131,0.001314,0.275921,0.000633,0.340012,0.000680,960
intervention_ambiguity,0.000000,scalar_uncertainty_trigger,0.330036,0.001147,-0.669913,0.001396,0.471689,0.000632,0.582136,0.000601,960
intervention_ambiguity,0.166667,causal_intervention_belief_revision_v5,0.616543,0.001148,0.498798,0.001420,0.137853,0.000632,0.232694,0.000632,960
intervention_ambiguity,0.166667,human_intervention_revision,0.428635,0.001164,-0.281288,0.001422,0.372301,0.000636,0.449588,0.000589,960
intervention_ambiguity,0.166667,proposed_intervention_violation_revision_v4_1,0.542462,0.001092,0.104831,0.001314,0.280338,0.000633,0.343104,0.000680,960
intervention_ambiguity,0.166667,scalar_uncertainty_trigger,0.321736,0.001147,-0.679873,0.001396,0.479989,0.000632,0.587946,0.000601,960
intervention_ambiguity,0.333333,causal_intervention_belief_revision_v5,0.614877,0.001148,0.496798,0.001420,0.139520,0.000632,0.233860,0.000632,960
intervention_ambiguity,0.333333,human_intervention_revision,0.422302,0.001164,-0.288888,0.001422,0.378634,0.000636,0.454021,0.000589,960
intervention_ambiguity,0.333333,proposed_intervention_violation_revision_v4_1,0.538045,0.001092,0.099531,0.001314,0.284754,0.000633,0.346195,0.000680,960
intervention_ambiguity,0.333333,scalar_uncertainty_trigger,0.313436,0.001147,-0.689833,0.001396,0.488289,0.000632,0.593756,0.000601,960
intervention_ambiguity,0.500000,causal_intervention_belief_revision_v5,0.613210,0.001148,0.494798,0.001420,0.141186,0.000632,0.235027,0.000632,960
intervention_ambiguity,0.500000,human_intervention_revision,0.415969,0.001164,-0.296488,0.001422,0.384968,0.000636,0.458455,0.000589,960
intervention_ambiguity,0.500000,proposed_intervention_violation_revision_v4_1,0.533628,0.001092,0.094231,0.001314,0.289171,0.000633,0.349287,0.000680,960
intervention_ambiguity,0.500000,scalar_uncertainty_trigger,0.305136,0.001147,-0.699793,0.001396,0.496589,0.000632,0.599566,0.000601,960
intervention_ambiguity,0.666667,causal_intervention_belief_revision_v5,0.611543,0.001148,0.492798,0.001420,0.142853,0.000632,0.236194,0.000632,960
intervention_ambiguity,0.666667,human_intervention_revision,0.409635,0.001164,-0.304088,0.001422,0.391301,0.000636,0.462888,0.000589,960
intervention_ambiguity,0.666667,proposed_intervention_violation_revision_v4_1,0.529212,0.001092,0.088931,0.001314,0.293588,0.000633,0.352379,0.000680,960
intervention_ambiguity,0.666667,scalar_uncertainty_trigger,0.296836,0.001147,-0.709753,0.001396,0.504889,0.000632,0.605376,0.000601,960
intervention_ambiguity,0.833333,causal_intervention_belief_revision_v5,0.604981,0.001148,0.473941,0.001420,0.156253,0.000632,0.237360,0.000632,960
intervention_ambiguity,0.833333,human_intervention_revision,0.398406,0.001164,-0.328534,0.001422,0.409368,0.000636,0.467321,0.000589,960
intervention_ambiguity,0.833333,proposed_intervention_violation_revision_v4_1,0.519899,0.001092,0.066786,0.001314,0.309738,0.000633,0.355470,0.000680,960
intervention_ambiguity,0.833333,scalar_uncertainty_trigger,0.283640,0.001147,-0.736637,0.001396,0.524922,0.000632,0.611186,0.000601,960
intervention_ambiguity,1.000000,causal_intervention_belief_revision_v5,0.588014,0.001148,0.419261,0.001420,0.194586,0.000632,0.238527,0.000632,960
intervention_ambiguity,1.000000,human_intervention_revision,0.376773,0.001164,-0.388779,0.001422,0.452368,0.000636,0.471755,0.000589,960
intervention_ambiguity,1.000000,proposed_intervention_violation_revision_v4_1,0.500182,0.001092,0.008847,0.001314,0.350821,0.000633,0.358562,0.000680,960
intervention_ambiguity,1.000000,scalar_uncertainty_trigger,0.260040,0.001147,-0.799491,0.001397,0.569889,0.000632,0.616996,0.000601,960
observation_noise,0.000000,causal_intervention_belief_revision_v5,0.618210,0.001148,0.500798,0.001420,0.136186,0.000632,0.231527,0.000632,960
observation_noise,0.000000,human_intervention_revision,0.434969,0.001164,-0.273688,0.001422,0.365968,0.000636,0.445155,0.000589,960
observation_noise,0.000000,proposed_intervention_violation_revision_v4_1,0.546878,0.001092,0.110131,0.001314,0.275921,0.000633,0.340012,0.000680,960
observation_noise,0.000000,scalar_uncertainty_trigger,0.330036,0.001147,-0.669913,0.001396,0.471689,0.000632,0.582136,0.000601,960
observation_noise,0.166667,causal_intervention_belief_revision_v5,0.616543,0.001148,0.498798,0.001420,0.137853,0.000632,0.232694,0.000632,960
observation_noise,0.166667,human_intervention_revision,0.428635,0.001164,-0.281288,0.001422,0.372301,0.000636,0.449588,0.000589,960
observation_noise,0.166667,proposed_intervention_violation_revision_v4_1,0.542462,0.001092,0.104831,0.001314,0.280338,0.000633,0.343104,0.000680,960
observation_noise,0.166667,scalar_uncertainty_trigger,0.321736,0.001147,-0.679873,0.001396,0.479989,0.000632,0.587946,0.000601,960
observation_noise,0.333333,causal_intervention_belief_revision_v5,0.614877,0.001148,0.496798,0.001420,0.139520,0.000632,0.233860,0.000632,960
observation_noise,0.333333,human_intervention_revision,0.422302,0.001164,-0.288888,0.001422,0.378634,0.000636,0.454021,0.000589,960
observation_noise,0.333333,proposed_intervention_violation_revision_v4_1,0.538045,0.001092,0.099531,0.001314,0.284754,0.000633,0.346195,0.000680,960
observation_noise,0.333333,scalar_uncertainty_trigger,0.313436,0.001147,-0.689833,0.001396,0.488289,0.000632,0.593756,0.000601,960
observation_noise,0.500000,causal_intervention_belief_revision_v5,0.613210,0.001148,0.494798,0.001420,0.141186,0.000632,0.235027,0.000632,960
observation_noise,0.500000,human_intervention_revision,0.415969,0.001164,-0.296488,0.001422,0.384968,0.000636,0.458455,0.000589,960
observation_noise,0.500000,proposed_intervention_violation_revision_v4_1,0.533628,0.001092,0.094231,0.001314,0.289171,0.000633,0.349287,0.000680,960
observation_noise,0.500000,scalar_uncertainty_trigger,0.305136,0.001147,-0.699793,0.001396,0.496589,0.000632,0.599566,0.000601,960
observation_noise,0.666667,causal_intervention_belief_revision_v5,0.611543,0.001148,0.492798,0.001420,0.142853,0.000632,0.236194,0.000632,960
observation_noise,0.666667,human_intervention_revision,0.409635,0.001164,-0.304088,0.001422,0.391301,0.000636,0.462888,0.000589,960
observation_noise,0.666667,proposed_intervention_violation_revision_v4_1,0.529212,0.001092,0.088931,0.001314,0.293588,0.000633,0.352379,0.000680,960
observation_noise,0.666667,scalar_uncertainty_trigger,0.296836,0.001147,-0.709753,0.001396,0.504889,0.000632,0.605376,0.000601,960
observation_noise,0.833333,causal_intervention_belief_revision_v5,0.604981,0.001148,0.473941,0.001420,0.156253,0.000632,0.237360,0.000632,960
observation_noise,0.833333,human_intervention_revision,0.398406,0.001164,-0.328534,0.001422,0.409368,0.000636,0.467321,0.000589,960
observation_noise,0.833333,proposed_intervention_violation_revision_v4_1,0.519899,0.001092,0.066786,0.001314,0.309738,0.000633,0.355470,0.000680,960
observation_noise,0.833333,scalar_uncertainty_trigger,0.283640,0.001147,-0.736637,0.001396,0.524922,0.000632,0.611186,0.000601,960
observation_noise,1.000000,causal_intervention_belief_revision_v5,0.588014,0.001148,0.419261,0.001420,0.194586,0.000632,0.238527,0.000632,960
observation_noise,1.000000,human_intervention_revision,0.376773,0.001164,-0.388779,0.001422,0.452368,0.000636,0.471755,0.000589,960
observation_noise,1.000000,proposed_intervention_violation_revision_v4_1,0.500182,0.001092,0.008847,0.001314,0.350821,0.000633,0.358562,0.000680,960
observation_noise,1.000000,scalar_uncertainty_trigger,0.260040,0.001147,-0.799491,0.001397,0.569889,0.000632,0.616996,0.000601,960
operator_unreliability,0.000000,causal_intervention_belief_revision_v5,0.618210,0.001148,0.500798,0.001420,0.136186,0.000632,0.231527,0.000632,960
operator_unreliability,0.000000,human_intervention_revision,0.434969,0.001164,-0.273688,0.001422,0.365968,0.000636,0.445155,0.000589,960
operator_unreliability,0.000000,proposed_intervention_violation_revision_v4_1,0.546878,0.001092,0.110131,0.001314,0.275921,0.000633,0.340012,0.000680,960
operator_unreliability,0.000000,scalar_uncertainty_trigger,0.330036,0.001147,-0.669913,0.001396,0.471689,0.000632,0.582136,0.000601,960
operator_unreliability,0.166667,causal_intervention_belief_revision_v5,0.616543,0.001148,0.498798,0.001420,0.137853,0.000632,0.232694,0.000632,960
operator_unreliability,0.166667,human_intervention_revision,0.428635,0.001164,-0.281288,0.001422,0.372301,0.000636,0.449588,0.000589,960
operator_unreliability,0.166667,proposed_intervention_violation_revision_v4_1,0.542462,0.001092,0.104831,0.001314,0.280338,0.000633,0.343104,0.000680,960
operator_unreliability,0.166667,scalar_uncertainty_trigger,0.321736,0.001147,-0.679873,0.001396,0.479989,0.000632,0.587946,0.000601,960
operator_unreliability,0.333333,causal_intervention_belief_revision_v5,0.614877,0.001148,0.496798,0.001420,0.139520,0.000632,0.233860,0.000632,960
operator_unreliability,0.333333,human_intervention_revision,0.422302,0.001164,-0.288888,0.001422,0.378634,0.000636,0.454021,0.000589,960
operator_unreliability,0.333333,proposed_intervention_violation_revision_v4_1,0.538045,0.001092,0.099531,0.001314,0.284754,0.000633,0.346195,0.000680,960
operator_unreliability,0.333333,scalar_uncertainty_trigger,0.313436,0.001147,-0.689833,0.001396,0.488289,0.000632,0.593756,0.000601,960
operator_unreliability,0.500000,causal_intervention_belief_revision_v5,0.612040,0.001148,0.489535,0.001420,0.145186,0.000632,0.235027,0.000632,960
operator_unreliability,0.500000,human_intervention_revision,0.414799,0.001164,-0.301747,0.001422,0.388968,0.000636,0.458455,0.000589,960
operator_unreliability,0.500000,proposed_intervention_violation_revision_v4_1,0.532458,0.001092,0.088973,0.001314,0.293171,0.000633,0.349287,0.000680,960
operator_unreliability,0.500000,scalar_uncertainty_trigger,0.303966,0.001147,-0.705081,0.001396,0.500589,0.000632,0.599566,0.000601,960
operator_unreliability,0.666667,causal_intervention_belief_revision_v5,0.600623,0.001148,0.443677,0.001420,0.180186,0.000632,0.236194,0.000632,960
operator_unreliability,0.666667,human_intervention_revision,0.398715,0.001164,-0.353169,0.001422,0.428634,0.000636,0.462888,0.000589,960
operator_unreliability,0.666667,proposed_intervention_violation_revision_v4_1,0.518292,0.001092,0.039855,0.001314,0.330921,0.000633,0.352379,0.000680,960
operator_unreliability,0.666667,scalar_uncertainty_trigger,0.285916,0.001147,-0.759118,0.001397,0.542222,0.000632,0.605376,0.000601,960
operator_unreliability,0.833333,causal_intervention_belief_revision_v5,0.589207,0.001148,0.397819,0.001420,0.215186,0.000632,0.237360,0.000632,960
operator_unreliability,0.833333,human_intervention_revision,0.382632,0.001164,-0.404597,0.001422,0.468301,0.000636,0.467321,0.000589,960
operator_unreliability,0.833333,proposed_intervention_violation_revision_v4_1,0.504125,0.001092,-0.009262,0.001314,0.368671,0.000633,0.355470,0.000680,960
operator_unreliability,0.833333,scalar_uncertainty_trigger,0.267866,0.001147,-0.813162,0.001397,0.583856,0.000632,0.611186,0.000601,960
operator_unreliability,1.000000,causal_intervention_belief_revision_v5,0.577790,0.001148,0.351961,0.001420,0.250186,0.000632,0.238527,0.000632,960
operator_unreliability,1.000000,human_intervention_revision,0.366549,0.001164,-0.456029,0.001422,0.507968,0.000636,0.471755,0.000589,960
operator_unreliability,1.000000,proposed_intervention_violation_revision_v4_1,0.489958,0.001092,-0.058379,0.001314,0.406421,0.000633,0.358562,0.000680,960
operator_unreliability,1.000000,scalar_uncertainty_trigger,0.249816,0.001147,-0.867214,0.001398,0.625489,0.000632,0.616996,0.000601,960
semantic_goal_conflict,0.000000,causal_intervention_belief_revision_v5,0.618210,0.001148,0.500798,0.001420,0.136186,0.000632,0.231527,0.000632,960
semantic_goal_conflict,0.000000,human_intervention_revision,0.434969,0.001164,-0.273688,0.001422,0.365968,0.000636,0.445155,0.000589,960
semantic_goal_conflict,0.000000,proposed_intervention_violation_revision_v4_1,0.546878,0.001092,0.110131,0.001314,0.275921,0.000633,0.340012,0.000680,960
semantic_goal_conflict,0.000000,scalar_uncertainty_trigger,0.330036,0.001147,-0.669913,0.001396,0.471689,0.000632,0.582136,0.000601,960
semantic_goal_conflict,0.166667,causal_intervention_belief_revision_v5,0.616543,0.001148,0.498798,0.001420,0.137853,0.000632,0.232694,0.000632,960
semantic_goal_conflict,0.166667,human_intervention_revision,0.428635,0.001164,-0.281288,0.001422,0.372301,0.000636,0.449588,0.000589,960
semantic_goal_conflict,0.166667,proposed_intervention_violation_revision_v4_1,0.542462,0.001092,0.104831,0.001314,0.280338,0.000633,0.343104,0.000680,960
semantic_goal_conflict,0.166667,scalar_uncertainty_trigger,0.321736,0.001147,-0.679873,0.001396,0.479989,0.000632,0.587946,0.000601,960
semantic_goal_conflict,0.333333,causal_intervention_belief_revision_v5,0.614877,0.001148,0.496798,0.001420,0.139520,0.000632,0.233860,0.000632,960
semantic_goal_conflict,0.333333,human_intervention_revision,0.422302,0.001164,-0.288888,0.001422,0.378634,0.000636,0.454021,0.000589,960
semantic_goal_conflict,0.333333,proposed_intervention_violation_revision_v4_1,0.538045,0.001092,0.099531,0.001314,0.284754,0.000633,0.346195,0.000680,960
semantic_goal_conflict,0.333333,scalar_uncertainty_trigger,0.313436,0.001147,-0.689833,0.001396,0.488289,0.000632,0.593756,0.000601,960
semantic_goal_conflict,0.500000,causal_intervention_belief_revision_v5,0.612040,0.001148,0.489535,0.001420,0.145186,0.000632,0.235027,0.000632,960
semantic_goal_conflict,0.500000,human_intervention_revision,0.414799,0.001164,-0.301747,0.001422,0.388968,0.000636,0.458455,0.000589,960
semantic_goal_conflict,0.500000,proposed_intervention_violation_revision_v4_1,0.532458,0.001092,0.088973,0.001314,0.293171,0.000633,0.349287,0.000680,960
semantic_goal_conflict,0.500000,scalar_uncertainty_trigger,0.303966,0.001147,-0.705081,0.001396,0.500589,0.000632,0.599566,0.000601,960
semantic_goal_conflict,0.666667,causal_intervention_belief_revision_v5,0.600623,0.001148,0.443677,0.001420,0.180186,0.000632,0.236194,0.000632,960
semantic_goal_conflict,0.666667,human_intervention_revision,0.398715,0.001164,-0.353169,0.001422,0.428634,0.000636,0.462888,0.000589,960
semantic_goal_conflict,0.666667,proposed_intervention_violation_revision_v4_1,0.518292,0.001092,0.039855,0.001314,0.330921,0.000633,0.352379,0.000680,960
semantic_goal_conflict,0.666667,scalar_uncertainty_trigger,0.285916,0.001147,-0.759118,0.001397,0.542222,0.000632,0.605376,0.000601,960
semantic_goal_conflict,0.833333,causal_intervention_belief_revision_v5,0.584311,0.001148,0.380962,0.001420,0.226920,0.000632,0.237360,0.000632,960
semantic_goal_conflict,0.833333,human_intervention_revision,0.377736,0.001164,-0.421445,0.001422,0.480034,0.000636,0.467321,0.000589,960
semantic_goal_conflict,0.833333,proposed_intervention_violation_revision_v4_1,0.499229,0.001092,-0.026107,0.001314,0.380404,0.000633,0.355470,0.000680,960
semantic_goal_conflict,0.833333,scalar_uncertainty_trigger,0.262970,0.001147,-0.830092,0.001398,0.595589,0.000632,0.611186,0.000601,960
semantic_goal_conflict,1.000000,causal_intervention_belief_revision_v5,0.557594,0.001148,0.282424,0.001420,0.298586,0.000632,0.238527,0.000632,960
semantic_goal_conflict,1.000000,human_intervention_revision,0.346353,0.001164,-0.525540,0.001422,0.556368,0.000636,0.471755,0.000589,960
semantic_goal_conflict,1.000000,proposed_intervention_violation_revision_v4_1,0.469762,0.001092,-0.127864,0.001314,0.454821,0.000633,0.358562,0.000680,960
semantic_goal_conflict,1.000000,scalar_uncertainty_trigger,0.229620,0.001147,-0.937029,0.001392,0.673889,0.000632,0.616996,0.000601,960
